Column1,Column2,Column3,Column4
635,118,8,24
636,118,8,24
637,117,9,24
638,117,9,24
639,117,9,24
640,117,9,24
641,117,9,24
642,117,9,24
643,116,9,25
644,116,9,25
645,116,9,25
646,115,10,25
647,115,9,26
648,115,9,26
649,115,9,26
650,115,9,26
651,115,9,26
652,115,9,26
653,115,9,26
654,115,8,27
655,115,8,27
656,115,8,27
657,115,8,27
658,115,8,27
659,114,9,27
660,114,9,27
661,114,9,27
662,114,9,27
663,114,9,27
664,114,9,27
665,114,9,27
666,114,9,27
667,114,9,27
668,114,9,27
669,113,10,27
670,113,10,27
671,113,10,27
672,113,10,27
673,113,10,27
674,113,10,27
675,113,10,27
676,113,10,27
677,113,10,27
678,113,9,28
679,113,9,28
680,113,9,28
681,112,10,28
682,112,10,28
683,111,11,28
684,111,11,28
685,111,11,28
686,111,11,28
687,111,11,28
688,111,11,28
689,111,11,28
690,111,11,28
691,111,11,28
692,111,11,28
693,111,11,28
694,111,11,28
695,111,11,28
696,111,11,28
697,111,11,28
698,111,11,28
699,111,11,28
700,110,12,28
701,110,12,28
702,109,13,28
703,109,13,28
704,109,13,28
705,109,13,28
706,109,13,28
707,109,13,28
708,109,13,28
709,108,14,28
710,108,14,28
711,108,14,28
712,108,14,28
713,107,15,28
714,107,15,28
715,107,15,28
716,107,15,28
717,106,16,28
718,105,16,29
719,105,16,29
720,105,16,29
721,103,18,29
722,103,18,29
723,103,18,29
724,103,18,29
725,103,18,29
726,103,18,29
727,103,18,29
728,103,18,29
729,103,18,29
730,103,17,30
731,103,17,30
732,103,17,30
733,103,17,30
734,103,17,30
735,103,17,30
736,103,17,30
737,103,17,30
738,103,17,30
739,103,16,31
740,103,16,31
741,103,16,31
742,103,16,31
743,103,16,31
744,103,16,31
745,103,16,31
746,103,16,31
747,103,15,32
748,103,15,32
749,102,16,32
750,102,15,33
751,102,15,33
752,102,13,35
753,102,13,35
754,102,13,35
755,101,14,35
756,101,14,35
757,100,15,35
758,100,15,35
759,100,14,36
760,100,14,36
761,100,13,37
762,100,13,37
763,100,13,37
764,100,13,37
765,100,13,37
766,100,13,37
767,100,13,37
768,100,13,37
769,100,13,37
770,100,13,37
771,100,13,37
772,100,13,37
773,100,13,37
774,99,13,38
775,99,13,38
776,99,13,38
777,99,13,38
778,99,13,38
779,99,11,40
780,98,12,40
781,98,12,40
782,98,12,40
783,98,12,40
784,97,13,40
785,97,13,40
786,97,13,40
787,97,13,40
788,97,12,41
789,97,12,41
790,96,13,41
791,96,13,41
792,96,13,41
793,96,13,41
794,96,12,42
795,96,12,42
796,95,13,42
797,95,12,43
798,94,13,43
799,94,13,43
800,94,13,43
801,94,13,43
802,94,13,43
803,94,13,43
804,94,12,44
805,94,12,44
806,94,12,44
807,93,13,44
808,93,13,44
809,93,13,44
810,93,12,45
811,93,12,45
812,93,12,45
813,93,12,45
814,93,12,45
815,93,12,45
816,93,12,45
817,93,12,45
818,93,12,45
819,93,12,45
820,92,13,45
821,92,13,45
822,92,12,46
823,92,12,46
824,92,12,46
825,92,12,46
826,92,12,46
827,92,12,46
828,91,13,46
829,91,13,46
830,91,13,46
831,91,13,46
832,91,13,46
833,90,14,46
834,90,13,47
835,90,13,47
836,90,13,47
837,90,13,47
838,90,12,48
839,90,12,48
840,90,12,48
841,90,12,48
842,90,11,49
843,90,11,49
844,90,11,49
845,90,11,49
846,89,11,50
847,89,11,50
848,89,11,50
849,89,11,50
850,89,11,50
851,89,11,50
852,89,11,50
853,89,11,50
854,89,11,50
855,89,11,50
856,89,11,50
857,89,11,50
858,89,11,50
859,89,11,50
860,89,11,50
861,89,11,50
862,89,11,50
863,89,11,50
864,89,11,50
865,89,11,50
866,89,11,50
867,89,11,50
868,89,11,50
869,89,11,50
870,89,11,50
871,89,11,50
872,89,11,50
873,89,11,50
874,89,11,50
875,89,11,50
876,89,11,50
877,89,11,50
878,89,11,50
879,89,11,50
880,89,11,50
881,88,12,50
882,88,12,50
883,88,11,51
884,88,11,51
885,88,11,51
886,88,11,51
887,88,11,51
888,88,11,51
889,88,11,51
890,87,12,51
891,87,12,51
892,87,11,52
893,87,11,52
894,87,11,52
895,87,11,52
896,87,11,52
897,87,11,52
898,87,11,52
899,87,11,52
900,87,11,52
901,87,11,52
902,87,11,52
903,87,11,52
904,87,11,52
905,87,11,52
906,87,11,52
907,87,11,52
908,86,11,53
909,86,11,53
910,86,11,53
911,86,11,53
912,86,11,53
913,86,11,53
914,86,11,53
915,86,11,53
916,86,11,53
917,86,11,53
918,86,11,53
919,86,11,53
920,86,11,53
921,86,10,54
922,85,10,55
923,85,10,55
924,85,10,55
925,85,10,55
926,85,10,55
927,85,10,55
928,85,10,55
929,85,10,55
930,85,10,55
931,85,10,55
932,85,10,55
933,85,10,55
934,85,10,55
935,84,10,56
936,84,10,56
937,84,10,56
938,84,10,56
939,84,10,56
940,84,10,56
941,84,10,56
942,84,10,56
943,84,10,56
944,83,11,56
945,83,11,56
946,83,11,56
947,83,10,57
948,83,10,57
949,83,10,57
950,83,10,57
951,83,10,57
952,83,10,57
953,83,10,57
954,82,11,57
955,82,11,57
956,82,11,57
957,82,11,57
958,82,11,57
959,82,11,57
960,82,11,57
961,82,11,57
962,82,11,57
963,82,11,57
964,82,11,57
965,82,11,57
966,82,11,57
967,82,11,57
968,82,11,57
969,82,11,57
970,82,10,58
971,82,10,58
972,82,10,58
973,82,10,58
974,82,10,58
975,82,10,58
976,82,10,58
977,81,11,58
978,81,11,58
979,81,11,58
980,81,11,58
981,80,12,58
982,80,12,58
983,80,12,58
984,80,11,59
985,80,11,59
986,80,10,60
987,80,10,60
988,80,10,60
989,80,10,60
990,80,8,62
991,80,8,62
992,80,8,62
993,80,8,62
994,80,8,62
995,80,8,62
996,80,8,62
997,80,8,62
998,80,8,62
999,80,8,62
1000,80,8,62
